#,ごい,Vocabulary,Type,Meaning,Learning Status,Level
169,広い,hiroi,い-adjective,spacious; vast; wide,unseen,N5
,,ひろい,,,unseen,N5
170,昼,hiru,Noun,noon; midday; daytime; lunch,unseen,N5
,,ひる,,,unseen,N5
171,昼ご飯,hirugohan,Noun,lunch,unseen,N5
,,ひるごはん,,,unseen,N5
172,人,hito,Noun,person; human,unseen,N5
,,ひと,,,unseen,N5
173,一人,hitori,"Noun, Adverb",one person​; alone; single,unseen,N5
,,ひとり,,,unseen,N5
174,一つ,hitotsu,"Noun, Numeric",one thing; only,unseen,N5
,,ひとつ,,,unseen,N5
175,ほか,hoka,Noun,"other (place, thing, person); the rest",unseen,N5
,,,,,,
176,本,hon,Noun,book; volume; script,unseen,N5
,,ほん,,,unseen,N5
177,本棚,hondana,Noun,bookshelf; bookcase,unseen,N5
,,ほんだな,,,unseen,N5
178,本当,hontou,"Noun, Adjective, な-adjective",truth; reality; actuality; fact,unseen,N5
,,ほんとう,,,unseen,N5
179,欲しい,hoshii,"Adjective, い-adjective",want,unseen,N5
,,ほしい,,,unseen,N5
180,細い,hosoi,"Adjective, い-adjective",thin; slender,unseen,N5
,,ほそい,,,unseen,N5
181,ホテル,hoteru,"Noun, Katakana",hotel,unseen,N5
,,,,,,
182,百,hyaku,"Noun, Numeric",100; hundred,unseen,N5
,,ひゃく,,,unseen,N5
183,一,ichi,"Noun, Prefix, Suffix, Numeric",one; best; first; foremost; start,unseen,N5
,,いち,,,unseen,N5
184,一番,ichiban,"Noun, Adverb","number one; first; 1st, first place​; best; most​",unseen,N5
,,いちばん,,,unseen,N5
185,一日,ichinichi,"Noun, Adverbial Noun","one day, all day",unseen,N5
,,いちにち,,,unseen,N5
186,家,ie,Noun,"house, residence, family",unseen,N5
,,いえ,,,unseen,N5
187,いかが,ikaga,Adverb,how; in what way; how about​,unseen,N5
,,,,,,
188,池,ike,Noun,pond,unseen,N5
,,いけ,,,unseen,N5
189,行く,iku,"Verb, Godan verb, Intransitive verb",to go; to move,unseen,N5
,,いく,,,unseen,N5
190,いくら,ikura,"Noun, Adverb",how much?; how many?​,unseen,N5
,,,,,,
191,いくつ,ikutsu,Adverb,"how many?,how old?",unseen,N5
,,,,,,
192,今,ima,"Noun, Adverbial Noun",now; the present time; soon,unseen,N5
,,いま,,,unseen,N5
193,意味,imi,Noun,meaning; significance; sense,unseen,N5
,,いみ,,,unseen,N5
194,妹,imouto,Noun,younger sister,unseen,N5
,,いもうと,,,unseen,N5
195,犬,inu,Noun,dog,unseen,N5
,,いぬ,,,unseen,N5
196,入れる,ireru,"Verb, Ichidan verb, Transitive verb",to put in; to let in; to take in; to bring in; to insert; to install,unseen,N5
,,いれる,,,unseen,N5
197,入口,iriguchi,Noun,entrance; entry; gate,unseen,N5
,,いりぐち,,,unseen,N5
198,色,iro,Noun,colour; color,unseen,N5
,,いろ,,,unseen,N5
199,色々,iroiro,"Noun, Adjective, な-adjective, Adverb",various,unseen,N5
,,いろいろ,,,unseen,N5
200,要る,iru,"Verb, Godan verb, Intransitive verb",to be needed,unseen,N5
,,いる,,,unseen,N5
201,居る,iru,"Verb, Ichidan verb, Intransitive verb","to be, to have",unseen,N5
,,いる,,,unseen,N5
202,医者,isha,Noun,(medical) doctor; physician,unseen,N5
,,いしゃ,,,unseen,N5
203,忙しい,isogashii,"Adjective, い-adjective",busy,unseen,N5
,,いそがしい,,,unseen,N5
204,一緒,issho,Noun,together; at the same time; same; identical,unseen,N5
,,いっしょ,,,unseen,N5
205,椅子,isu,Noun,chair,unseen,N5
,,いす,,,unseen,N5
206,痛い,itai,"Adjective, い-adjective",painful; sore​,unseen,N5
,,いたい,,,unseen,N5
207,いつ,itsu,Pronoun,when,unseen,N5
,,,,,,
208,五日,itsuka,Noun,the fifth day of the month / 5 days,unseen,N5
,,いつか,,,unseen,N5
209,五つ,itsutsu,"Noun, Numeric",five; 5,unseen,N5
,,いつつ,,,unseen,N5
210,言う,iu,"Verb, Godan verb",to say; to call,unseen,N5
,,いう,,,unseen,N5
211,嫌,iya,"Noun, Adjective, な-adjective",unpleasant,unseen,N5
,,いや,,,unseen,N5
212,じゃあ,jaa,Conjunction,then; well; so; well then,unseen,N5
,,,,,,
213,字引,jibiki,Noun,dictionary,unseen,N5
,,じびき,,,unseen,N5
214,自分,jibun,Pronoun,myself; yourself; oneself; himself; herself; i; me,unseen,N5
,,じぶん,,,unseen,N5
215,自動車,jidousha,Noun,automobile; motorcar; motor vehicle; car,unseen,N5
,,じどうしゃ,,,unseen,N5
216,時間,jikan,Noun,time; hour(s),unseen,N5
,,じかん,,,unseen,N5
217,辞書,jisho,Noun,dictionary,unseen,N5
,,じしょ,,,unseen,N5
218,自転車,jitensha,Noun,bicycle,unseen,N5
,,じてんしゃ,,,unseen,N5
219,丈夫,joubu,"Adjective, な-adjective","strong, durable",unseen,N5
,,じょうぶ,,,unseen,N5
220,上手,jouzu,"Noun, Adjective, な-adjective",skillful; skilled; proficient; good (at),unseen,N5
,,じょうず,,,unseen,N5
221,授業,jugyou,"Noun, Suru verb",lesson; class work,unseen,N5
,,じゅぎょう,,,unseen,N5
222,十,juu,"Noun, Numeric",ten; 10,unseen,N5
,,じゅう,,,unseen,N5
223,かばん,kaban,Noun,bag; basket​,unseen,N5
,,,,,,
224,花瓶,kabin,Noun,a vase,unseen,N5
,,かびん,,,unseen,N5
225,角,kado,Noun,a corner; angle​,unseen,N5
,,かど,,,unseen,N5
226,帰る,kaeru,"Verb, Godan verb, Intransitive verb",to go back​,unseen,N5
,,かえる,,,unseen,N5
227,返す,kaesu,"Verb, Godan verb, Transitive verb",to return something,unseen,N5
,,かえす,,,unseen,N5
228,鍵,kagi,Noun,key,unseen,N5
,,かぎ,,,unseen,N5
229,階段,kaidan,Noun,stairs; stairway; staircase,unseen,N5
,,かいだん,,,unseen,N5
230,買い物,kaimono,Noun,shopping; purchased goods,unseen,N5
,,かいもの,,,unseen,N5
231,会社,kaisha,Noun,company; corporation,unseen,N5
,,かいしゃ,,,unseen,N5
232,掛かる,kakaru,"Verb, Godan verb, Intransitive verb","to take (a resource, e.g. time or money)",unseen,N5
,,かかる,,,unseen,N5
233,掛ける,kakeru,"Verb, Ichidan verb, Transitive verb",to hang up; to make (a call)​;,unseen,N5
,,かける,,,unseen,N5
234,書く,kaku,"Verb, Godan verb, Transitive verb",to write; to compose; to pen; to draw,unseen,N5
,,かく,,,unseen,N5
235,カメラ,kamera,"Noun, Katakana",camera,unseen,N5
,,,,,,
236,紙,kami,Noun,paper,unseen,N5
,,かみ,,,unseen,N5
237,漢字,kanji,Noun,kanji,unseen,N5
,,かんじ,,,unseen,N5
238,カップ,kappu,"Noun, Katakana",cup,unseen,N5
,,,,,,
239,体,karada,Noun,body,unseen,N5
,,からだ,,,unseen,N5
240,辛い,karai,い-adjective,spicy,unseen,N5
,,からい,,,unseen,N5
