#,Word,Hiragana,Romaji,Type,Meaning,Learning Status,Level
306.0,曇り,くもり,kumori,Noun,cloudiness; cloudy weather,unseen,N5
307.0,曇る,くもる,kumoru,"Verb, Godan verb, Intransitive verb","to become cloudy, to become dim",unseen,N5
308.0,国,くに,kuni,Noun,country; state; region,unseen,N5
309.0,暗い,くらい,kurai,"Adjective, い-adjective",dark; gloomy; murky,unseen,N5
310.0,クラス,,kurasu,"Noun, Katakana",class,unseen,N5
311.0,黒,くろ,kuro,Noun,black,unseen,N5
312.0,黒い,くろい,kuroi,い-adjective,black,unseen,N5
313.0,来る,くる,kuru,"Verb, Intransitive verb",to come,unseen,N5
314.0,車,くるま,kuruma,Noun,car; automobile; vehicle,unseen,N5
315.0,薬,くすり,kusuri,Noun,medicine,unseen,N5
316.0,靴,くつ,kutsu,Noun,shoes,unseen,N5
317.0,靴下,くつした,kutsushita,Noun,socks,unseen,N5
318.0,去年,きょねん,kyonen,Noun,last year,unseen,N5
319.0,今日,きょう,kyou,"Noun, Temporal noun",today; this day,unseen,N5
320.0,兄弟,きょうだい,kyoudai,Noun,siblings; brothers and sisters​; mate,unseen,N5
321.0,教室,きょうしつ,kyoushitsu,Noun,classroom,unseen,N5
322.0,九,きゅう,kyuu,"Noun, Numeric",nine; 9,unseen,N5
323.0,マッチ,,macchi,"Noun, Katakana",match,unseen,N5
324.0,町,まち,machi,Noun,town; block; neighborhood,unseen,N5
325.0,窓,まど,mado,Noun,window,unseen,N5
326.0,前,まえ,mae,"Noun, Suffix",previous; before; in front; ago,unseen,N5
327.0,曲がる,まがる,magaru,"Verb, Godan verb, Intransitive verb","to turn, to bend",unseen,N5
328.0,毎朝,まいあさ,maiasa,Noun,every morning,unseen,N5
329.0,毎晩,まいばん,maiban,Noun,every night,unseen,N5
330.0,毎日,まいにち,mainichi,Noun,every day,unseen,N5
331.0,毎週,まいしゅう,maishuu,Noun,every week,unseen,N5
332.0,毎年,まいとし / まいねん,maitoshi / mainen,Noun,every year; yearly; annually,unseen,N5
333.0,毎月,まいつき,maitsuki,Noun,every month; monthly,unseen,N5
334.0,万,まん,man,"Noun, Numeric","10,000; ten thousand",unseen,N5
335.0,万年筆,まんねんひつ,mannenhitsu,Noun,fountain pen,unseen,N5
336.0,丸い,まるい,marui,"Adjective, い-adjective","round,circular",unseen,N5
337.0,真っ直ぐ,まっすぐ,massugu,"Noun, Adjective, な-adjective, Adverb","straight ahead,direct",unseen,N5
338.0,待つ,まつ,matsu,"Verb, Godan verb, Intransitive verb, Transitive verb",to wait​,unseen,N5
339.0,不味い,まずい,mazui,"Adjective, い-adjective",unpleasant,unseen,N5
340.0,目,め,me,Noun,eye,unseen,N5
341.0,メートル,,meetoru,"Noun, Katakana",metre; meter,unseen,N5
